pl_name,pl_bmassj,pl_bmasse,pl_orbper,discoverymethod
"Kepler-92 b",0.20200000,64.30000000,13.74900000000,"Transit"
"Kepler-288 c",0.02670000,8.50000000,19.30577200000,"Transit"
"Kepler-295 b",0.00624000,1.98000000,12.64516400000,"Transit"
"Kepler-178 d",0.04650000,14.80000000,96.67898800000,"Transit"
"Kepler-44 b",1.00000000,317.82000000,3.24672930000,"Transit"
"Kepler-41 b",0.56000000,177.98000000,1.85555820000,"Transit"
"Kepler-450 d",0.05537552,17.60000000,7.51464000000,"Transit"
"POTS-1 b",2.31000000,734.16000000,3.16062960000,"Transit"
"Kepler-350 d",0.04700000,14.90000000,26.13600000000,"Transit"
"Kepler-238 f",0.04200000,13.50000000,50.44700000000,"Transit"
"Kepler-287 c",0.20765922,66.00000000,44.85189600000,"Transit"
"Kepler-285 b",0.00742000,2.36000000,2.63386700000,"Transit"
"Kepler-181 b",0.00678000,2.15000000,3.13787300000,"Transit"
"Kepler-1398 c",0.00340000,1.08000000,4.13827595000,"Transit"
"Kepler-963 b",0.02380000,7.56000000,9.97683705000,"Transit"
"WASP-24 b",1.24000000,394.10920000,2.34121000000,"Transit"
"WASP-21 b",0.30000000,95.34500000,4.32248200000,"Transit"
"TOI-237 b",0.00839000,2.67000000,5.43609800000,"Transit"
"K2-237 b",1.36600000,434.15360396,2.18053332000,"Transit"
"Kepler-284 b",0.01780000,5.65000000,12.69914900000,"Transit"
"Kepler-654 b",0.01550000,4.94000000,13.72465129000,"Transit"
"Kepler-199 c",0.03340000,10.60000000,67.09340800000,"Transit"
"Kepler-214 b",0.02300000,7.32000000,15.66054400000,"Transit"
"Kepler-87 b",1.02000000,324.20000000,114.73635000000,"Transit"
"Kepler-75 b",10.10000000,3209.90000000,8.88491160000,"Transit"
"Kepler-74 b",0.63000000,200.22000000,7.34071100000,"Transit"
"Kepler-145 c",0.25000000,79.40000000,42.88200000000,"Transit"
"Kepler-328 b",0.09000000,28.50000000,34.92100000000,"Transit"
"Kepler-115 c",0.02290000,7.27000000,8.99088900000,"Transit"
"Kepler-341 c",0.01110000,3.53000000,8.01041000000,"Transit"
"Kepler-225 b",0.00588000,1.87000000,6.73897500000,"Transit"
"Kepler-871 b",0.04240000,13.50000000,22.04590180000,"Transit"
"Kepler-56 c",0.57000000,181.00000000,21.40239000000,"Transit"
"XO-5 b",1.19000000,378.20000000,4.18775580000,"Transit"
"Kepler-447 b",1.37000000,435.41000000,7.79430132000,"Transit"
"Kepler-216 b",0.01930000,6.12000000,7.69364100000,"Transit"
"Kepler-259 c",0.02440000,7.75000000,36.92493100000,"Transit"
"Kepler-293 b",0.03030000,9.64000000,19.25419600000,"Transit"
"Kepler-291 b",0.01670000,5.31000000,3.54651100000,"Transit"
"Kepler-242 c",0.01470000,4.66000000,14.49648100000,"Transit"
"Kepler-240 b",0.00771000,2.45000000,4.14449500000,"Transit"
"Kepler-56 b",0.07000000,22.10000000,10.50160000000,"Transit"
"WASP-16 b",1.24000000,394.10920000,3.11860000000,"Transit"
"WASP-17 b",0.78000000,247.90740000,3.73543000000,"Transit"
"WASP-18 b",10.20000000,3241.84975140,0.94145223000,"Transit"
"HAT-P-54 b",0.76000000,241.55080000,3.79984700000,"Transit"
"Kepler-148 c",0.03980000,12.60000000,4.18004300000,"Transit"
"Kepler-179 b",0.01050000,3.33000000,2.73592600000,"Transit"
"Kepler-303 b",0.00201000,0.64000000,1.93705500000,"Transit"
"Kepler-260 b",0.01480000,4.70000000,8.18739900000,"Transit"
"Kepler-226 b",0.07600000,24.00000000,3.94099700000,"Transit"
"WASP-26 b",0.85000000,270.15550000,2.75660000000,"Transit"
"WASP-33 b",2.09300000,665.21819000,1.21987000000,"Transit"
"HATS-14 b",1.07100000,340.39593000,2.76676410000,"Transit"
"Kepler-1162 b",0.01740000,5.52000000,32.56370690000,"Transit"
"Kepler-1126 b",0.01150000,3.64000000,108.59332900000,"Transit"
"Kepler-165 c",0.01760000,5.60000000,15.31299000000,"Transit"
"Kepler-197 d",0.00624000,1.98000000,15.67756300000,"Transit"
"Kepler-125 b",0.01950000,6.21000000,4.16438900000,"Transit"
"Kepler-306 c",0.01930000,6.12000000,7.24019300000,"Transit"
"KOI-351 e",0.02380000,7.56000000,91.93913000000,"Transit"
"KOI-351 c",0.00570000,1.81000000,8.71937500000,"Transit"
"Kepler-222 c",0.06120000,19.40000000,10.08881000000,"Transit"
"Kepler-184 d",0.02130000,6.76000000,29.02235800000,"Transit"
"Kepler-309 b",0.00961000,3.05000000,5.92365300000,"Transit"
"Kepler-696 b",0.09840000,31.30000000,4.19042557500,"Transit"
"Kepler-11 f",0.00600000,2.00000000,46.68880000000,"Transit"
"Kepler-11 e",0.02500000,8.00000000,31.99960000000,"Transit"
"Kepler-11 g",0.07900000,25.00000000,118.38070000000,"Transit"
"Kepler-166 c",0.01970000,6.26000000,34.26028100000,"Transit"
"Kepler-275 b",0.01910000,6.08000000,10.30068200000,"Transit"
"Kepler-1298 b",0.00714000,2.27000000,7.12811928000,"Transit"
"Kepler-11 c",0.00900000,2.90000000,13.02410000000,"Transit"
"WASP-57 b",0.64400000,204.68252000,2.83891856000,"Transit"
"HAT-P-50 b",1.35000000,429.07050000,3.12201090000,"Transit"
"MOA-2008-BLG-379L b",4.10000000,1300.00000000,,"Microlensing"
"HD 13908 b",0.86500000,274.91000000,19.38200000000,"Radial Velocity"
"Kepler-108 b",0.17600000,56.00000000,49.18392100000,"Transit"
"Kepler-264 b",0.03480000,11.10000000,40.80623100000,"Transit"
